city_name,state_name,state_code,age_median,popul_male,popul_female,household_size_ave,popul_total,share_female,popul_density,lat,lng
College Station,Texas,TX,22.9,270625,268870,2.52,539495,0.5,1110.0,30.585805,-96.300825
Colorado Springs,Colorado,CO,34.8,1127720,1155090,2.48,2282810,0.51,756.09,38.846594516129024,-104.73870677419353
Columbia,Maryland,MD,37.9,261010,256325,2.68,517335,0.5,1268.43,39.196686666666665,-76.85105333333333
Columbia,Missouri,MO,26.8,282720,312770,2.37,595490,0.53,2776.95,38.939265,-92.3149175
Columbia,South Carolina,SC,28.0,338430,328535,2.32,666965,0.49,3928.6,34.03165499999999,-81.00159000000001
Columbus,Georgia,GA,33.7,493925,508970,2.62,1002895,0.51,768.42,32.48818833333333,-84.95106666666668
Columbus,Ohio,OH,32.5,2069905,2175430,2.4,4245335,0.51,1740.68,39.99649566666667,-82.98631733333332
Compton,California,CA,30.1,246320,245920,4.08,492240,0.5,3891.9,33.8931,-118.22617333333335
Concord,California,CA,39.6,311550,331790,2.72,643340,0.52,1654.25,37.972595,-122.0079225
Concord,North Carolina,NC,35.7,213660,224805,2.72,438465,0.51,289.8,35.394445000000005,-80.601555
Conroe,Texas,TX,31.5,174535,168425,2.65,342960,0.49,327.13,30.277151428571425,-95.41696714285715
Coral Springs,Florida,FL,37.2,316580,330930,3.17,647510,0.51,2372.2,26.258339999999997,-80.263295
Corona,California,CA,37.1,398745,422465,2.97,821210,0.51,947.9,33.84412,-117.54866200000001
Corpus Christi,Texas,TX,35.0,802440,817970,2.69,1620410,0.5,876.11,27.745765000000002,-97.42123333333332
Costa Mesa,California,CA,34.8,295485,270445,2.59,565930,0.48,2916.75,33.663405,-117.91443000000001
Cranston,Rhode Island,RI,39.9,191825,213560,2.56,405385,0.53,1475.53,41.768393333333336,-71.47299333333332
Dale City,Virginia,VA,33.4,179920,177075,3.65,356995,0.5,,,
Dallas,Texas,TX,32.6,3195095,3305315,2.59,6500410,0.51,1820.5,32.810844200000005,-96.8003326
Daly City,California,CA,39.7,269085,263785,3.2599999999999993,532870,0.5,3689.85,37.68606,-122.46398500000001
Danbury,Connecticut,CT,37.3,217175,206135,2.74,423310,0.49,779.45,41.400355,-73.470415
Davenport,Iowa,IA,35.2,250615,262270,2.39,512885,0.51,699.23,41.54829666666666,-90.59781833333335
Davie,Florida,FL,40.8,243770,260700,2.72,504470,0.52,,,
Davis,California,CA,26.3,167465,170815,2.69,338280,0.5,517.85,38.549994999999996,-121.740375
Dayton,Ohio,OH,32.8,333155,369830,2.26,702985,0.53,942.89,39.74574740740741,-84.1742337037037
Dearborn,Michigan,MI,33.5,232410,243490,3.04,475900,0.51,1438.7,42.31282,-83.21602999999999
Decatur,Illinois,IL,40.4,173230,191050,2.23,364280,0.52,437.05,39.84743,-88.97916000000001
Deerfield Beach,Florida,FL,41.4,185775,213070,2.46,398845,0.53,1941.45,26.310650000000003,-80.122135
Delray Beach,Florida,FL,47.9,128876,136168,2.35,265044,0.51,1358.9,26.455752,-80.11412800000001
Deltona,Florida,FL,39.9,224265,218105,2.89,442370,0.49,761.8,28.896155,-81.22029
Denton,Texas,TX,28.7,312390,342845,2.66,655235,0.52,1007.45,33.205126666666665,-97.11999166666665
Denver,Colorado,CO,34.1,1705685,1707040,2.33,3412725,0.5,2223.78,39.74069904761904,-104.9781057142857
Des Moines,Iowa,IA,34.5,518630,532955,2.41,1051585,0.51,1074.82,41.590358333333334,-93.62571916666667
Detroit,Michigan,MI,34.8,1596325,1789295,2.6,3385620,0.53,1673.16,42.36467321428572,-83.10054714285717
Dothan,Alabama,AL,38.9,160860,176820,2.59,337680,0.52,182.4,31.20394,-85.43253666666668
Downey,California,CA,37.3,265030,306025,3.45,571055,0.54,3491.5,33.93992333333333,-118.12980333333333
Duluth,Minnesota,MN,34.7,206355,224275,2.25,430630,0.52,1196.58,46.815054545454544,-92.13339545454545
Durham,North Carolina,NC,33.2,605765,682225,2.4,1287990,0.53,731.21,35.987590000000004,-78.89157999999999
Eagan,Minnesota,MN,36.8,157935,173505,2.49,331440,0.52,,,
East Los Angeles,California,CA,32.6,302300,296030,3.75,598330,0.49,,,
East Orange,New Jersey,NJ,35.5,149975,174835,2.85,324810,0.54,6308.55,40.764025000000004,-74.21243000000001
Eau Claire,Wisconsin,WI,32.0,161635,175530,2.4,337165,0.52,197.85,44.789405,-91.51333500000001
Edinburg,Texas,TX,29.3,118266,135237,3.31,253503,0.53,444.63,26.39308,-98.18391333333334
Edmond,Oklahoma,OK,32.5,225955,224495,2.68,450450,0.5,558.62,35.678028,-97.51405000000001
El Cajon,California,CA,32.7,272250,246190,3.14,518440,0.47,1194.47,32.803373333333326,-116.90650000000001
El Monte,California,CA,37.3,289805,293920,3.6700000000000004,583725,0.5,4159.75,34.076105,-118.027535
El Paso,Texas,TX,33.1,1663985,1741695,3.03,3405680,0.51,968.79,31.75112083333333,-106.18885125000001
Elgin,Illinois,IL,35.7,274260,281120,2.97,555380,0.51,925.5,42.03352,-88.31562000000001
Elizabeth,New Jersey,NJ,34.2,329480,315580,3.18,645060,0.49,5149.93,40.666246666666666,-74.20595666666667
Elk Grove,California,CA,36.1,400285,434165,3.34,834450,0.52,958.97,38.400529999999996,-121.39540333333332
Ellicott City,Maryland,MD,42.4,172030,182630,2.73,354660,0.51,750.2,39.263915,-76.84536
Enterprise,Nevada,NV,34.1,345730,331640,2.89,677370,0.49,,,
Erie,Pennsylvania,PA,35.3,243090,254260,2.31,497350,0.51,1622.49,42.110798461538465,-80.06262153846153
Escondido,California,CA,33.3,382755,374535,3.2700000000000005,757290,0.49,527.85,33.129332500000004,-117.06492750000001
Eugene,Oregon,OR,33.4,395355,421885,2.34,817240,0.52,838.22,44.05748333333333,-123.123965
Evanston,Illinois,IL,36.8,170730,206885,2.29,377615,0.55,3348.23,42.045336666666664,-87.70140666666664
Evansville,Indiana,IN,38.0,285990,302405,2.25,588395,0.51,603.71,37.99924444444444,-87.56431555555554
Everett,Washington,WA,37.0,281060,259000,2.36,540060,0.48,1847.46,47.945622,-122.22339199999999
Fairfield,California,CA,34.7,277750,287110,3.14,564860,0.51,774.05,38.261435,-122.06904
Fall River,Massachusetts,MA,39.3,216570,227280,2.21,443850,0.51,2715.85,41.69604,-71.143715
Fargo,North Dakota,ND,30.7,302800,293450,2.18,596250,0.49,1031.93,46.8664375,-96.82533749999999
Farmington Hills,Michigan,MI,42.1,187635,219025,2.41,406660,0.54,,,
Fayetteville,Arkansas,AR,27.1,209795,204365,2.28,414160,0.49,184.73,36.06777333333333,-94.14211
Fayetteville,North Carolina,NC,30.7,505255,504570,2.5,1009825,0.5,571.21,35.047841250000005,-78.9103075
Federal Way,Washington,WA,36.4,245755,230185,2.68,475940,0.48,1760.2,47.306960000000004,-122.33888
Fishers,Indiana,IN,34.5,168644,175640,2.8,344284,0.51,957.1,39.96387,-85.981975
Flagstaff,Arizona,AZ,23.9,166120,185465,2.55,351585,0.53,1401.55,35.26923,-111.47294
Flint,Michigan,MI,35.3,244920,246565,2.38,491485,0.5,533.66,43.013344,-83.717363
Florence-Graham,California,CA,30.2,102558,96519,4.57,199077,0.48,,,
Flower Mound,Texas,TX,40.2,176000,179120,3.01,355120,0.5,881.95,33.03026,-97.09055000000001
Folsom,California,CA,40.9,205255,176585,2.62,381840,0.46,1090.1,38.66708,-121.14181
Fontana,California,CA,29.5,503220,534140,4.15,1037360,0.51,1607.6,34.09448666666666,-117.46667666666667
Fort Collins,Colorado,CO,29.6,404465,401440,2.45,805905,0.5,587.16,40.559162,-105.06627599999999
Fort Lauderdale,Florida,FL,42.8,469740,423195,2.38,892935,0.47,1754.86,26.126954444444454,-80.23582111111112
Fort Myers,Florida,FL,37.3,147400,148660,2.45,296060,0.5,753.25,26.555116363636373,-81.82825636363636
Fort Smith,Arkansas,AR,34.9,216730,224245,2.44,440975,0.51,587.6,35.341035999999995,-94.38899
Fort Wayne,Indiana,IN,34.7,624075,666645,2.45,1290720,0.52,687.18,41.07857812500001,-85.14313062500001
Fort Worth,Texas,TX,32.6,2070630,2114215,2.88,4184845,0.51,1384.22,32.754799687500004,-97.3338409375
Framingham,Massachusetts,MA,40.3,177210,178840,2.49,356050,0.5,1320.6,42.301955,-71.43602
Franklin,Tennessee,TN,38.3,139964,150576,2.73,290540,0.52,234.67,35.92992666666667,-86.88065666666667
Frederick,Maryland,MD,36.1,165730,181680,2.48,347410,0.52,299.86,39.41109,-77.409232
Fremont,California,CA,38.3,571915,589040,3.12,1160955,0.51,1419.57,37.537502499999995,-121.985405
Fresno,California,CA,30.0,1280650,1319710,3.12,2600360,0.51,1669.97,36.778040000000004,-119.79772944444446
Frisco,Texas,TX,37.2,369945,401995,3.05,771940,0.52,1035.75,33.153645,-96.816535
Fullerton,California,CA,34.5,347745,356500,2.97,704245,0.51,2561.05,33.882365,-117.9260975
Gainesville,Florida,FL,26.0,304015,346650,2.33,650665,0.53,1031.31,29.670491000000005,-82.358292
Gaithersburg,Maryland,MD,35.7,161055,176170,2.73,337225,0.52,1316.04,39.159902,-77.195418
Garden Grove,California,CA,37.8,433895,443025,3.66,876920,0.51,3745.06,33.777058,-117.968264
